Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
D197-D192T27_forward	76953098	26346014	76953098	7772262898	3377612	7714537565	0.7427094754457442
D197-D192T27_reverse	76953098	28360063	76953098	7772262898	90844260	7625119161	1.893190425118839
D197-D192T28_forward	107358441	37165924	107358441	10843202541	4634104	10763784790	0.7324196951934443
D197-D192T28_reverse	107358441	39715517	107358441	10843202541	73530181	10691019857	1.4034846570888195
D197-D192T29_forward	102950296	35492154	102950296	10397979896	4423095	10324868712	0.703128730111559
D197-D192T29_reverse	102950296	37930760	102950296	10397979896	52262157	10273193542	1.2001018971772015
D197-D192T30_forward	125607825	43328392	125607825	12686390325	5282235	12594383372	0.7252413857919037
D197-D192T30_reverse	125607825	46276065	125607825	12686390325	61172685	12533421967	1.20576739388633
D197-D192T31_forward	145252240	50220631	145252240	14670476240	5851164	14564521081	0.7222339429657124
D197-D192T31_reverse	145252240	53603989	145252240	14670476240	59033043	14505578116	1.1240134355720137
D197-D192T32_forward	149514033	51702893	149514033	15100917333	6146310	14993463203	0.7115735264981601
D197-D192T32_reverse	149514033	55570726	149514033	15100917333	35925554	14956897245	0.9537174783764509
D197-D192T33_forward	150068692	50523528	150068692	15156937892	6322839	15048562069	0.715024523899395
D197-D192T33_reverse	150068692	55086606	150068692	15156937892	73957135	14974868661	1.2012270044076525
D197-D192T34_forward	118928344	40729331	118928344	12011762744	4982891	11922139910	0.7461255763211568
D197-D192T34_reverse	118928344	43911269	118928344	12011762744	43537831	11879044816	1.1048996789941925
D197-D192T35_forward	83098254	28401833	83098254	8392923654	3547180	8325530758	0.8029728230386212
D197-D192T35_reverse	83098254	30906003	83098254	8392923654	40669678	8284817367	1.288064701368723
D197-D192T36_forward	102584017	34817946	102584017	10360985717	4352682	10283868249	0.7443062861622126
D197-D192T36_reverse	102584017	37766147	102584017	10360985717	38905561	10244622238	1.1230927459833695
D197-D192T37_forward	95516318	32882035	95516318	9647148118	4098203	9572768068	0.771005576883587
D197-D192T37_reverse	95516318	35304810	95516318	9647148118	49820209	9523371528	1.2830381423195227
D197-D192T38_forward	93838936	31761706	93838936	9477732536	4014958	9410624999	0.7080547667398324
D197-D192T38_reverse	93838936	34498445	93838936	9477732536	57256031	9353053760	1.3154916065253268
