Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
D197-D192T27_forward	0.7427094754457442					
D197-D192T27_reverse	1.893190425118839					
D197-D192T27_val_1		59.13252423240987	48.0	99.52983902398789	18.181818181818183	76234464.0
D197-D192T27_val_2		54.67320727519357	48.0	99.2032255909873	18.181818181818183	76234464.0
D197-D192T28_forward	0.7324196951934443					
D197-D192T28_reverse	1.4034846570888195					
D197-D192T28_val_1		59.666168633663396	47.0	99.53779367368367	18.181818181818183	106788084.0
D197-D192T28_val_2		56.7697485462075	47.0	99.34398218063356	18.181818181818183	106788084.0
D197-D192T29_forward	0.703128730111559					
D197-D192T29_reverse	1.2001018971772015					
D197-D192T29_val_1		59.97549495580139	47.0	99.56982522967243	18.181818181818183	102555624.0
D197-D192T29_val_2		56.87591082199376	47.0	99.41479776867234	18.181818181818183	102555624.0
D197-D192T30_forward	0.7252413857919037					
D197-D192T30_reverse	1.20576739388633					
D197-D192T30_val_1		63.219313317396	47.0	99.54392378003233	18.181818181818183	125159014.0
D197-D192T30_val_2		60.91419612819017	48.0	99.38850446680573	18.181818181818183	125159014.0
D197-D192T31_forward	0.7222339429657124					
D197-D192T31_reverse	1.1240134355720137					
D197-D192T31_val_1		65.30361432242313	47.0	99.54798755726523	18.181818181818183	144816717.0
D197-D192T31_val_2		61.94492715372068	48.0	99.41978767547948	18.181818181818183	144816717.0
D197-D192T32_forward	0.7115735264981601					
D197-D192T32_reverse	0.9537174783764509					
D197-D192T32_val_1		65.92413436723605	47.0	99.55881233624505	18.181818181818183	149266490.0
D197-D192T32_val_2		63.94031658031306	47.0	99.47254493624122	18.181818181818183	149266490.0
D197-D192T33_forward	0.715024523899395					
D197-D192T33_reverse	1.2012270044076525					
D197-D192T33_val_1		65.34737875314397	48.0	99.55082496103063	27.27272727272727	149503971.0
D197-D192T33_val_2		63.41875409077692	49.0	99.4022250686572	27.27272727272727	149503971.0
D197-D192T34_forward	0.7461255763211568					
D197-D192T34_reverse	1.1048996789941925					
D197-D192T34_val_1		61.820431026460895	48.0	99.5247222262202	18.181818181818183	118601637.0
D197-D192T34_val_2		59.39774309401122	49.0	99.40932459473557	27.27272727272727	118601637.0
D197-D192T35_forward	0.8029728230386212					
D197-D192T35_reverse	1.288064701368723					
D197-D192T35_val_1		60.74276395523042	49.0	99.45955048293304	27.27272727272727	82790049.0
D197-D192T35_val_2		57.53032735910458	49.0	99.31374271804091	27.27272727272727	82790049.0
D197-D192T36_forward	0.7443062861622126					
D197-D192T36_reverse	1.1230927459833695					
D197-D192T36_val_1		61.07436989876665	48.0	99.51748075902024	18.181818181818183	102294557.0
D197-D192T36_val_2		57.743512171360514	49.0	99.40064036838245	27.27272727272727	102294557.0
D197-D192T37_forward	0.771005576883587					
D197-D192T37_reverse	1.2830381423195227					
D197-D192T37_val_1		57.977209585118814	48.0	99.49352028706909	18.181818181818183	95142255.0
D197-D192T37_val_2		53.83701850848399	49.0	99.33933737433489	27.27272727272727	95142255.0
D197-D192T38_forward	0.7080547667398324					
D197-D192T38_reverse	1.3154916065253268					
D197-D192T38_val_1		60.10175311661082	48.0	99.55344032987773	18.181818181818183	93394605.0
D197-D192T38_val_2		55.83180363674268	49.0	99.379966755039	27.27272727272727	93394605.0
