Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
D197-D192T27.sort	/shared/projects/bi4edc/RASflow_IFB/data/LXACT_wholedata/mapping_hisat2/bamFileSort/D197-D192T27.sort.bam	152468928.0	149088310.0	192000635771.0	14901289076.0	44919.2102	204.0	5.9814	0.0001	59.8266	97.78274954487776
D197-D192T28.sort	/shared/projects/bi4edc/RASflow_IFB/data/LXACT_wholedata/mapping_hisat2/bamFileSort/D197-D192T28.sort.bam	213576168.0	209906768.0	272670720120.0	20997114578.0	25350.9394	202.0	5.2567	0.0001	84.963	98.28192441396364
D197-D192T29.sort	/shared/projects/bi4edc/RASflow_IFB/data/LXACT_wholedata/mapping_hisat2/bamFileSort/D197-D192T29.sort.bam	205111248.0	202038578.0	255534061605.0	20220077990.0	29130.2999	208.0	5.7878	0.0001	79.6233	98.50194953716044
D197-D192T30.sort	/shared/projects/bi4edc/RASflow_IFB/data/LXACT_wholedata/mapping_hisat2/bamFileSort/D197-D192T30.sort.bam	250318028.0	246645217.0	360485360163.0	24677519457.0	24574.3745	202.0	5.7705	0.0001	112.3257	98.53274211636088
D197-D192T31.sort	/shared/projects/bi4edc/RASflow_IFB/data/LXACT_wholedata/mapping_hisat2/bamFileSort/D197-D192T31.sort.bam	289633434.0	285562598.0	384550179390.0	28576417843.0	17693.6593	204.0	5.1352	0.0001	119.8242	98.59448685057541
D197-D192T32.sort	/shared/projects/bi4edc/RASflow_IFB/data/LXACT_wholedata/mapping_hisat2/bamFileSort/D197-D192T32.sort.bam	298532980.0	294842406.0	430183247723.0	29513598617.0	19675.4634	205.0	5.3939	0.0001	134.0433	98.76376338721438
D197-D192T33.sort	/shared/projects/bi4edc/RASflow_IFB/data/LXACT_wholedata/mapping_hisat2/bamFileSort/D197-D192T33.sort.bam	299007942.0	293920019.0	458876705072.0	29410705292.0	25212.4378	199.0	6.3018	0.0001	142.984	98.29839870942291
D197-D192T34.sort	/shared/projects/bi4edc/RASflow_IFB/data/LXACT_wholedata/mapping_hisat2/bamFileSort/D197-D192T34.sort.bam	237203274.0	233643665.0	302029666698.0	23376605915.0	15037.3812	201.0	6.3749	0.0001	94.1112	98.49934238260136
D197-D192T35.sort	/shared/projects/bi4edc/RASflow_IFB/data/LXACT_wholedata/mapping_hisat2/bamFileSort/D197-D192T35.sort.bam	165580098.0	162865461.0	230277095276.0	16279556778.0	23688.1295	194.0	5.8321	0.0001	71.7534	98.36052941579972
D197-D192T36.sort	/shared/projects/bi4edc/RASflow_IFB/data/LXACT_wholedata/mapping_hisat2/bamFileSort/D197-D192T36.sort.bam	204589114.0	201503954.0	303677849314.0	20159465401.0	13496.6142	203.0	6.2383	0.0001	94.6247	98.49202142788496
D197-D192T37.sort	/shared/projects/bi4edc/RASflow_IFB/data/LXACT_wholedata/mapping_hisat2/bamFileSort/D197-D192T37.sort.bam	190284510.0	187035536.0	237165540601.0	18702514222.0	31549.8411	196.0	6.3771	0.0001	73.8998	98.29257042520172
D197-D192T38.sort	/shared/projects/bi4edc/RASflow_IFB/data/LXACT_wholedata/mapping_hisat2/bamFileSort/D197-D192T38.sort.bam	186789210.0	183382398.0	256174064803.0	18348193667.0	14926.4827	202.0	5.7466	0.0001	79.8228	98.17611948784408
