Module	Section	Sample Name	Source
QualiMap	genome_results	SRR9016958.sort	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016958_BAMqc/genome_results.txt
QualiMap	genome_results	SRR9016959.sort	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016959_BAMqc/genome_results.txt
QualiMap	genome_results	SRR9016960.sort	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016960_BAMqc/genome_results.txt
QualiMap	genome_results	SRR9016963.sort	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016963_BAMqc/genome_results.txt
QualiMap	genome_results	SRR9016964.sort	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016964_BAMqc/genome_results.txt
QualiMap	genome_results	SRR9016965.sort	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016965_BAMqc/genome_results.txt
QualiMap	coverage_histogram	SRR9016958_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016958_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SRR9016959_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016959_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SRR9016960_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016960_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SRR9016963_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016963_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SRR9016964_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016964_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	SRR9016965_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016965_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	insert_size_histogram	SRR9016958_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016958_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	SRR9016959_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016959_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	SRR9016960_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016960_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	SRR9016963_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016963_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	SRR9016964_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016964_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	SRR9016965_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016965_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	mapped_gc_distribution	SRR9016958_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016958_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SRR9016959_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016959_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SRR9016960_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016960_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SRR9016963_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016963_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SRR9016964_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016964_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	SRR9016965_BAMqc	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/alignmentQC/SRR9016965_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
featureCounts	all_sections	sortByName	/shared/projects/repeats/RASflow_IFB/results/Dnmt1/mapping_HISAT2/counting_featureCounts/countTables/SRR9016965_table.tsv.summary
