Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
D197-D192T27.sort	91153862	51236995	265300	0	0	0	0	0	0	21778669	0	0	1791248	0	16081650	56.209351831960774
D197-D192T28.sort	123255434	74975604	351659	0	0	0	0	0	0	24823794	0	0	2378805	0	20725572	60.82945113803259
D197-D192T29.sort	117954473	72226124	329730	0	0	0	0	0	0	23320567	0	0	2276316	0	19801736	61.23220439465658
D197-D192T30.sort	145080983	87353997	451480	0	0	0	0	0	0	30017138	0	0	2799341	0	24459027	60.21050808568067
D197-D192T31.sort	167073539	101856234	474682	0	0	0	0	0	0	33895778	0	0	3085535	0	27761310	60.96491078697986
D197-D192T32.sort	171683257	105230790	465829	0	0	0	0	0	0	34058317	0	0	3213938	0	28714383	61.29356574357161
D197-D192T33.sort	187822707	94513349	596597	0	0	0	0	0	0	54543012	0	0	2871100	0	35298649	50.32051263109524
D197-D192T34.sort	147810636	77223591	443650	0	0	0	0	0	0	41277611	0	0	2478979	0	26386805	52.244948732917976
D197-D192T35.sort	105375513	52166158	323267	0	0	0	0	0	0	31812739	0	0	1883605	0	19189744	49.50500976446017
D197-D192T36.sort	129880301	65504492	365700	0	0	0	0	0	0	38910408	0	0	2251244	0	22848457	50.434508925260346
D197-D192T37.sort	116938673	61869173	377453	0	0	0	0	0	0	31193731	0	0	2165598	0	21332718	52.90736709488743
D197-D192T38.sort	117470684	60989347	370037	0	0	0	0	0	0	33881592	0	0	1971377	0	20258331	51.91878085940148
