Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
D197-D192T27.sort	59.8266	97.78274954487776	149088310.0	152468928.0	0.01	56.209351831960774	51236995								
D197-D192T27_BAMqc								49.03445736702271	197	25.81029244196974	8.784427089899484	4.099625390052284	1.3809753181852884	0.9603767003503104	0
D197-D192T28.sort	84.963	98.28192441396364	209906768.0	213576168.0	0.01	60.82945113803259	74975604								
D197-D192T28_BAMqc								48.1880715566454	196	29.62619357989586	11.846329574907127	5.9704484340451165	1.827301153008295	1.2226884645424905	0
D197-D192T29.sort	79.6233	98.50194953716044	202038578.0	205111248.0	0.01	61.23220439465658	72226124								
D197-D192T29_BAMqc								48.02066005338755	201	29.122379944370838	11.115427366984472	5.473486135322298	1.7236826879914466	1.177660163770285	0
D197-D192T30.sort	112.3257	98.53274211636088	246645217.0	250318028.0	0.01	60.21050808568067	87353997								
D197-D192T30_BAMqc								48.23389987442475	196	30.185376320631907	12.13168369106811	6.186878156193556	1.955190436347837	1.3257436267122715	0
D197-D192T31.sort	119.8242	98.59448685057541	285562598.0	289633434.0	0.01	60.96491078697986	101856234								
D197-D192T31_BAMqc								48.2289110922388	197	31.210607444424156	13.153753862652268	6.9294399353653136	2.1875285251328505	1.4559948683665274	0
D197-D192T32.sort	134.0433	98.76376338721438	294842406.0	298532980.0	0.01	61.29356574357161	105230790								
D197-D192T32_BAMqc								47.91011481837226	198	31.518009236512118	13.424321107700056	7.0753975984325645	2.1965065342779715	1.4605720857037767	0
D197-D192T33.sort	142.984	98.29839870942291	293920019.0	299007942.0	0.01	50.32051263109524	94513349								
D197-D192T33_BAMqc								49.71718305573026	192	30.47080587413069	13.0628048508003	7.27018256915427	2.4103594839824978	1.5699081774449648	0
D197-D192T34.sort	94.1112	98.49934238260136	233643665.0	237203274.0	0.01	52.244948732917976	77223591								
D197-D192T34_BAMqc								49.204334237054454	195	30.637722435158206	12.622880595433855	6.735247557493787	2.126605661417027	1.3890726018645196	0
D197-D192T35.sort	71.7534	98.36052941579972	162865461.0	165580098.0	0.01	49.50500976446017	52166158								
D197-D192T35_BAMqc								50.05159204567736	187	25.41490475807859	9.018989349346278	4.447403139833181	1.5290395245082082	1.0489655611430755	0
D197-D192T36.sort	94.6247	98.49202142788496	201503954.0	204589114.0	0.01	50.434508925260346	65504492								
D197-D192T36_BAMqc								49.601670025979544	196	28.078669819934923	10.564148627066704	5.427466180987313	1.8097174916724976	1.2219924842132452	0
D197-D192T37.sort	73.8998	98.29257042520172	187035536.0	190284510.0	0.01	52.90736709488743	61869173								
D197-D192T37_BAMqc								49.31103570319667	189	30.13698340865125	11.846510051181616	5.942823692249152	1.8158903286685935	1.2085681591171193	0
D197-D192T38.sort	79.8228	98.17611948784408	183382398.0	186789210.0	0.01	51.91878085940148	60989347								
D197-D192T38_BAMqc								49.55718756705325	195	26.60978738135907	9.541244812138679	4.799321779383705	1.6675795566067178	1.1548745667223708	0
