Module	Section	Sample Name	Source
QualiMap	genome_results	D197-D192T27.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T27_BAMqc/genome_results.txt
QualiMap	genome_results	D197-D192T28.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T28_BAMqc/genome_results.txt
QualiMap	genome_results	D197-D192T29.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T29_BAMqc/genome_results.txt
QualiMap	genome_results	D197-D192T30.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T30_BAMqc/genome_results.txt
QualiMap	genome_results	D197-D192T31.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T31_BAMqc/genome_results.txt
QualiMap	genome_results	D197-D192T32.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T32_BAMqc/genome_results.txt
QualiMap	genome_results	D197-D192T33.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T33_BAMqc/genome_results.txt
QualiMap	genome_results	D197-D192T34.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T34_BAMqc/genome_results.txt
QualiMap	genome_results	D197-D192T35.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T35_BAMqc/genome_results.txt
QualiMap	genome_results	D197-D192T36.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T36_BAMqc/genome_results.txt
